_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,FTH_PRIORITY,FTH_ORGANIZATION,FTH_FAITH,FTH_DENOMINATION,FTH_GROUPING,FTH_PHONE,FTH_EXTENSION,FTH_FAX,FTH_CELL,FTH_HOME,FTH_SALUTATION,FTH_FIRST_NAME,FTH_LAST_NAME,FTH_POSITION,FTH_EMAIL,FTH_CONTACT,FTH_WEBSITE,FTH_FORUM,WARD_NAME,WARD_NUMBER,COMM_COUNCIL_NAME,COMM_COUNCIL_CODE,NEIGHBOURHOOD_NAME,geometry
1,850128,851,Ossington Ave,851 Ossington Ave,M6G3V2,former TORONTO,Toronto,Church Of Jesus Christ,109001,1143238,851,NA,NA,NA,4125,NA,NA,NA,NA,1,NA,Church Of Jesus Christ Of La,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dovercourt-Wallace Emerson-Junction (93),"c(-79.426130314028, 43.6650415640799)"
2,10312972,1219,Dufferin St,1219 Dufferin St,M6H4C2,former TORONTO,Toronto,Dufferin St Baptist Church,109001,10312971,1219,NA,NA,NA,557,NA,NA,NA,NA,2,NA,Dufferin St Baptist Church,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dovercourt-Wallace Emerson-Junction (93),"c(-79.43769286312, 43.6660815075536)"
3,10877578,700,Dovercourt Rd,700 Dovercourt Rd,NA,former TORONTO,Toronto,NA,115001,14018294,700,NA,NA,NA,3317,NA,NA,NA,NA,3,NA,Dovercourt Presbyterian Chur,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dufferin Grove (83),"c(-79.428921103475, 43.6591190008705)"
4,6710178,1140,Bloor St W,1140 Bloor St W,M6H4E6,former TORONTO,Toronto,Dovercourt Baptist,109001,6710177,1140,NA,NA,NA,458,NA,NA,NA,NA,4,NA,Dovercourt Baptist Church,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dovercourt-Wallace Emerson-Junction (93),"c(-79.4360195434559, 43.6599346925934)"
5,872604,524,St Clarens Ave,524 St Clarens Ave,M6H3W7,former TORONTO,Toronto,Belarusian Autocephalous,109001,1143779,524,NA,NA,NA,4445,NA,NA,NA,NA,5,NA,Belarussian Autocephlous,Christian,NA,NA,4165301025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dovercourt-Wallace Emerson-Junction (93),"c(-79.4429982697982, 43.6609450689482)"
6,773333,1326,Bloor St W,1326 Bloor St W,M6H1P2,former TORONTO,Toronto,NA,112001,1144219,1326,NA,NA,NA,458,NA,NA,NA,NA,6,NA,The Buddhist Assocation Of C,Buddhist,NA,NA,4165371342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dovercourt-Wallace Emerson-Junction (93),"c(-79.4433636447958, 43.6584289151722)"
7,14200193,1330,Bloor St W,1330 Bloor St W,M6H1P2,former TORONTO,Toronto,NA,115001,1144219,1330,NA,NA,NA,458,NA,NA,NA,NA,7,50,Buddhist Association of Canada,Buddhist,Pure Land,Mahayana,(416) 537-1342,NA,NA,NA,NA,Rev.,Sing,Hung,Spiritual Head,hongfatemple@netzero.net,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dovercourt-Wallace Emerson-Junction (93),"c(-79.443368612367, 43.6584728622158)"
8,773325,1307,Bloor St W,1307 Bloor St W,M6H1P1,former TORONTO,Toronto,NA,109001,1144219,1307,NA,NA,NA,458,NA,NA,NA,NA,8,NA,Church Of The Crusaders,Christian,NA,NA,4165359578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dufferin Grove (83),"c(-79.4434896941113, 43.658075431582)"
9,773312,1287,Bloor St W,1287 Bloor St W,M6H1N7,former TORONTO,Toronto,NA,112001,1144172,1287,NA,NA,NA,458,NA,NA,NA,NA,9,NA,Britten Memorial Church,Christian,NA,NA,4165321197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dufferin Grove (83),"c(-79.4425327872584, 43.6581603143286)"
10,9246318,7,Croatia St,7 Croatia St,M6H1K8,former TORONTO,Toronto,NA,115001,9246321,7,NA,NA,NA,3241,NA,NA,NA,NA,10,NA,Our Lady Of Croatia,Catholic,NA,NA,4165363669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dufferin Grove (83),"c(-79.4370910980314, 43.6576541837676)"
